7	0	0.8840188384056091	0.6961265802383423	0.8686581254005432
7	1	0.8517847657203674	0.6687082052230835	0.8131186366081238
7	2	0.8378936648368835	0.6565617918968201	0.7842791676521301
7	3	0.8330811858177185	0.6513868570327759	0.75824373960495
7	4	0.8295009732246399	0.6488062143325806	0.7434251308441162
7	5	0.8283339738845825	0.6466867327690125	0.7281702160835266
7	6	0.8266000747680664	0.6460258960723877	0.7237117886543274
7	7	0.8257424831390381	0.6447590589523315	0.7167301177978516
7	8	0.8249168992042542	0.6443840265274048	0.7125504016876221
7	9	0.8245802521705627	0.6436044573783875	0.7075152397155762
7	10	0.824177086353302	0.6434000730514526	0.7038688063621521
7	11	0.8237301707267761	0.6426585912704468	0.6991288065910339
7	12	0.8234538435935974	0.6426792144775391	0.6973700523376465
7	13	0.8237614631652832	0.6428444981575012	0.6929969191551208
7	14	0.8231140375137329	0.6421447396278381	0.6919057369232178
7	15	0.8241835832595825	0.6426964998245239	0.6859208941459656
7	16	0.8234827518463135	0.6423823237419128	0.6859273314476013
7	17	0.824110209941864	0.6427137851715088	0.6832113265991211
7	18	0.8236897587776184	0.6425492167472839	0.6826677322387695
7	19	0.8241727948188782	0.6428558826446533	0.6804400682449341
Trained: 28/08/2020 21:22:52	Seed: 1593523459	RMSE: 0.8231140375137329	MAE: 0.6421447396278381

7	0	0.8853012919425964	0.6972693800926208	0.8695953488349915
7	1	0.8532074093818665	0.6700944304466248	0.8151969909667969
7	2	0.8381150960922241	0.6564443111419678	0.7829893231391907
7	3	0.8335344195365906	0.6520225405693054	0.7578914761543274
7	4	0.8295035362243652	0.6479877233505249	0.7432867884635925
7	5	0.8284156322479248	0.6466554403305054	0.7262994647026062
7	6	0.8264014720916748	0.6456317901611328	0.7217495441436768
7	7	0.8257248401641846	0.6447917222976685	0.7158216834068298
7	8	0.8248286843299866	0.6441730260848999	0.7104211449623108
7	9	0.8243387937545776	0.6433594226837158	0.7059407830238342
7	10	0.8240414261817932	0.643382728099823	0.7027656435966492
7	11	0.8237163424491882	0.6427151560783386	0.6996697187423706
7	12	0.8236233592033386	0.6426059007644653	0.6964888572692871
7	13	0.823319137096405	0.6422992944717407	0.6942735314369202
7	14	0.8235392570495605	0.6423232555389404	0.690893828868866
7	15	0.82313072681427	0.6420381665229797	0.6892390251159668
7	16	0.8238802552223206	0.6426682472229004	0.6868852376937866
7	17	0.8232744336128235	0.642053484916687	0.685221254825592
7	18	0.8241747617721558	0.6427692174911499	0.6840823888778687
7	19	0.8236451148986816	0.6423147916793823	0.681998610496521
Trained: 28/08/2020 22:14:51	Seed: 1593523459	RMSE: 0.82313072681427	MAE: 0.6420381665229797

1.7W	0	0.883090078830719	0.6951509118080139	0.8664830327033997
1.7W	1	0.8509211540222168	0.6678280234336853	0.811307430267334
1.7W	2	0.8377178311347961	0.6562809348106384	0.7815243601799011
1.7W	3	0.8335607647895813	0.6518403887748718	0.757494330406189
1.7W	4	0.8298099637031555	0.6490567326545715	0.7437554001808167
1.7W	5	0.8291114568710327	0.6474766135215759	0.7275927066802979
1.7W	6	0.8267626166343689	0.6461803317070007	0.723179042339325
1.7W	7	0.8260125517845154	0.6450846791267395	0.7168574929237366
1.7W	8	0.8251866698265076	0.64457768201828	0.7118871212005615
1.7W	9	0.8250629305839539	0.644045889377594	0.707024097442627
1.7W	10	0.8244954347610474	0.6437088847160339	0.7035953998565674
1.7W	11	0.824453592300415	0.6434303522109985	0.6998887658119202
1.7W	12	0.8240687847137451	0.6433265209197998	0.6972208023071289
1.7W	13	0.8240163326263428	0.6430357098579407	0.6946321129798889
1.7W	14	0.824030876159668	0.6431088447570801	0.6922951340675354
1.7W	15	0.8239990472793579	0.643049418926239	0.6901583075523376
1.7W	16	0.8242683410644531	0.6432546973228455	0.6882458925247192
1.7W	17	0.8241056203842163	0.6429994702339172	0.6856157779693604
1.7W	18	0.8239969611167908	0.6430539488792419	0.6846898198127747
1.7W	19	0.8242926001548767	0.6430903077125549	0.6822717785835266
Trained: 28/08/2020 23:16:22	Seed: 1593523459	RMSE: 0.8239969611167908	MAE: 0.6429994702339172

1.8W	0	0.8835762739181519	0.6955521106719971	0.8684183955192566
1.8W	1	0.8515101075172424	0.6684505939483643	0.8130476474761963
1.8W	2	0.8374321460723877	0.6561665534973145	0.7816355228424072
1.8W	3	0.8328078389167786	0.6514509320259094	0.7572251558303833
1.8W	4	0.8296706080436707	0.6480869054794312	0.7398377656936646
1.8W	5	0.8285173773765564	0.647013783454895	0.727123498916626
1.8W	6	0.8267999887466431	0.6461541056632996	0.7221735119819641
1.8W	7	0.8260236978530884	0.6451218128204346	0.7161256074905396
1.8W	8	0.8255012035369873	0.6449033617973328	0.7111879587173462
1.8W	9	0.8248583078384399	0.6439824104309082	0.7063615918159485
1.8W	10	0.8246450424194336	0.6439743041992188	0.7034225463867188
1.8W	11	0.8242963552474976	0.6434034705162048	0.6996324062347412
1.8W	12	0.8245466947555542	0.6436240077018738	0.6960567831993103
1.8W	13	0.8239413499832153	0.6430345177650452	0.6931203007698059
1.8W	14	0.8240625858306885	0.6431483030319214	0.6913362741470337
1.8W	15	0.8238266110420227	0.6427290439605713	0.6890457272529602
1.8W	16	0.824052631855011	0.6430168747901917	0.6878173351287842
1.8W	17	0.8241128325462341	0.6428470611572266	0.6854661703109741
1.8W	18	0.8241250514984131	0.6429654955863953	0.6839800477027893
1.8W	19	0.8247982263565063	0.6432308554649353	0.681868314743042
